#{"t_start": 1686392103.6238568, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,542,19452.446621
0.0,528,19457.668148
0.0,542,19462.886419
0.0,526,19468.105376
11.0,1091,19479.671239
0.0,522,19484.874176
0.0,528,19490.115269
0.0,536,19495.316013
0.0,530,19500.556335
0.0,543,19505.76188
0.0,519,19511.001893
0.0,516,19516.294687
0.0,516,19521.532318
11.0,1095,19533.097569
0.0,515,19538.295591
0.0,520,19543.508929
0.0,531,19548.711592
11.0,1107,19560.454131
0.0,526,19565.656142
0.0,523,19570.869169
0.0,514,19576.090129
0.0,532,19581.318643
11.0,1103,19592.902644
0.0,527,19598.098648
11.0,1107,19609.751425
11.0,1091,19621.329115
0.0,515,19626.553609
0.0,518,19631.785368
0.0,536,19636.966324
0.0,536,19642.136866
11.0,1107,19653.736302
0.0,518,19658.968296
0.0,520,19664.155869
0.0,542,19669.40474
0.0,536,19674.628832
0.0,542,19679.856053
0.0,530,19685.08219
0.0,526,19690.312724
11.0,1095,19701.975157
0.0,528,19707.205327
0.0,523,19712.397489
0.0,542,19717.628335
0.0,523,19722.844437
0.0,543,19728.133214
0.0,520,19733.374002
11.0,1111,19744.977764
0.0,543,19750.225258
0.0,514,19755.489453
0.0,528,19760.720167
0.0,539,19765.951652
0.0,516,19771.163992
0.0,534,19776.378369
11.0,1111,19788.124669
0.0,534,19793.338844
0.0,528,19798.564031
0.0,535,19803.791563
0.0,514,19809.046688
0.0,514,19814.266479
0.0,524,19819.505237
11.0,1111,19831.115904
11.0,1107,19842.741984
0.0,532,19847.993045
0.0,539,19853.263881
0.0,527,19858.472548
0.0,516,19863.714408
0.0,519,19868.926843
11.0,1087,19880.626317
0.0,519,19885.873491
0.0,522,19891.105909
11.0,1087,19902.658732
21.0,3185,19937.094585
241.0,6048,20002.537726
68.0,3628,20041.518271
140.0,6475,20111.855447
69.0,4150,20156.738061
121.0,6584,20228.567395
345.0,8543,20321.444051
354.0,6521,20392.449104
315.0,7636,20475.641929
131.0,6405,20545.794361
74.0,5408,20605.052412
85.0,5490,20664.930469
70.0,4695,20715.994151
393.0,7850,20802.000674
313.0,7375,20882.859611
70.0,5631,20944.376841
133.0,6221,21012.521718
367.0,9829,21120.482721
376.0,7015,21197.512848
368.0,8282,21288.466975
395.0,8144,21377.623799
94.0,6137,21444.654739
224.0,6633,21517.310225
387.0,7995,21605.09738
308.0,6415,21675.41841
352.0,8392,21767.504368
314.0,7577,21850.668666
130.0,7342,21931.425323
129.0,6616,22003.884849
183.0,7405,22085.341323
181.0,5403,22144.530979
342.0,8668,22240.134195
169.0,7554,22323.301172
354.0,6786,22397.614475
182.0,7281,22477.559647
202.0,7428,22559.248256
405.0,8277,22649.92553
337.0,6620,22722.356333
123.0,6584,22794.708336
190.0,6632,22867.41994
137.0,6260,22935.950179
267.0,7216,23015.502728
381.0,7920,23102.715715
94.0,6199,23170.491716
300.0,7157,23249.255895
159.0,7181,23328.308024
121.0,7088,23406.201913
36.0,2300,23430.857056
354.0,7413,23512.214203
407.0,7219,23591.611461
41.0,4119,23637.727363
360.0,9507,23741.17832
88.0,5659,23802.603968
355.0,8921,23899.557771
73.0,5268,23957.168677
180.0,8014,24044.242971
372.0,8184,24133.496031
268.0,6695,24206.311739
342.0,5993,24271.338824
57.0,4749,24323.872294
273.0,5767,24387.861481
65.0,4603,24438.788372
370.0,8477,24533.773556
423.0,12191,24670.307789
239.0,8064,24760.284158
324.0,7719,24846.267056
109.0,6488,24918.540749
138.0,7161,24998.579713
296.0,8548,25093.029579
404.0,7655,25178.660761
403.0,9713,25285.466422
292.0,7111,25362.635014
99.0,5956,25427.194073
231.0,4823,25479.405427
162.0,6521,25550.617014
345.0,8079,25638.651572
345.0,7633,25721.928483
341.0,9002,25820.789736
138.0,5538,25880.788005
344.0,8419,25972.329845
361.0,8020,26059.54261
400.0,8693,26154.292052
404.0,8910,26251.562735
386.0,8773,26349.682134
420.0,10079,26462.936295
322.0,5831,26527.873255
284.0,7908,26616.26714
143.0,6947,26693.672298
345.0,24271,26966.653492
137.0,5899,27032.495417
88.0,5159,27089.510895
415.0,8047,27177.146274
140.0,6296,27245.923845
106.0,5578,27306.352462
394.0,7839,27391.570471
54.0,4802,27443.73096
377.0,19824,27660.723752
20.0,3170,27686.820179
